year,month,Produto,Avg_Valor de Venda
2018,12,GASOLINA,4.40989082687322
2018,12,GNV,3.0746159929701
2018,2,DIESEL,3.40821828103685
2018,2,DIESEL S10,3.50483338005274
2018,2,ETANOL,3.19637800687295
2018,2,GASOLINA,4.23738259812416
2018,2,GNV,2.52542719999999
2018,3,DIESEL,3.40239229968784
2018,3,DIESEL S10,3.49982913572278
2018,3,ETANOL,3.21538755284175
2018,3,GASOLINA,4.23101461187198
2018,3,GNV,2.55600478468898
2018,4,DIESEL,3.4479990941398
2018,4,DIESEL S10,3.53765859821117
2018,4,ETANOL,3.22295628120363
2018,4,GASOLINA,4.25734148255681
2018,4,GNV,2.56388880187939
2018,5,DIESEL,3.64440016920478
2018,5,DIESEL S10,3.73362070418308
2018,5,ETANOL,3.0963971677208
2018,5,GASOLINA,4.34869103428741
2018,5,GNV,2.64940051238257
2018,6,DIESEL,3.44687644124621
2018,6,DIESEL S10,3.52638398225434
2018,6,ETANOL,3.17626026686051
2018,6,GASOLINA,4.58487362130323
2018,6,GNV,2.68733192923336
2018,7,DIESEL,3.39935857334937
2018,7,DIESEL S10,3.48010336967297
2018,7,ETANOL,3.0951815366665
2018,7,GASOLINA,4.53558492340216
2018,7,GNV,2.7118403041825
2018,8,DIESEL,3.38653601281694
2018,8,DIESEL S10,3.46771016893015
2018,8,ETANOL,2.96338739775055
2018,8,GASOLINA,4.48863475832902
2018,8,GNV,2.80503095975232
2018,9,DIESEL,3.61784409072833
2018,9,DIESEL S10,3.70034369639795
2018,9,ETANOL,3.06514415164593
2018,9,GASOLINA,4.65524736067827
2018,9,GNV,2.8655459272097
2019,1,DIESEL,3.45394180812761
2019,1,DIESEL S10,3.55856648459496
2019,1,ETANOL,3.07443458704923
2019,1,GASOLINA,4.31884907933213
2019,1,GNV,3.10506746310611
2019,2,DIESEL,3.46565581806493
2019,2,DIESEL S10,3.56620517432955
2019,2,ETANOL,3.05247858076399
2019,2,GASOLINA,4.24236385531793
2019,2,GNV,3.17920654911837
2019,3,DIESEL,3.54044975998702
2019,3,DIESEL S10,3.63614111211442
2019,3,ETANOL,3.19808339383385
2019,3,GASOLINA,4.34559291959155
2019,3,GNV,3.20826137303554
2019,4,DIESEL,3.580616139436
2019,4,DIESEL S10,3.67713596530441
2019,4,ETANOL,3.26320617329553
2019,4,GASOLINA,4.4681240140226
2019,4,GNV,3.20167484232655
2019,5,DIESEL,3.65580718608184
2019,5,DIESEL S10,3.74647262304801
2019,5,ETANOL,3.29874835876306
2019,5,GASOLINA,4.58826948470196
2019,5,GNV,3.20196411856473
2019,6,DIESEL,3.62207463884438
2019,6,DIESEL S10,3.71093395481131
2019,6,ETANOL,3.15738383593542
2019,6,GASOLINA,4.50984067140066
2019,6,GNV,3.21346791226643
2019,10,DIESEL,3.71413924491503
2019,10,DIESEL S10,3.7941464407082
2019,10,ETANOL,3.15743168520804
2019,10,GASOLINA,4.41834422673956
